+------------+--------------+------------+----------------------------+
| Дата   | Начало | Конец | Предмет             |
| 2016-09-17 | 11:50:00     | 13:20:00   | Литература       |
| 2016-09-17 | 13:50:00     | 15:20:00   | История             |
| 2016-09-17 | 15:30:00     | 17:00:00   | Алгебра             |
| 2016-09-18 | 08:30:00     | 10:00:00   | Химия                 |
| 2016-09-18 | 10:10:00     | 11:40:00   | Биология           |
| 2016-09-18 | 11:50:00     | 13:20:00   | История             |
| 2016-09-19 | 08:30:00     | 10:00:00   | Литература       |
| 2016-09-19 | 10:10:00     | 11:40:00   | Химия                 |
| 2016-09-19 | 11:50:00     | 13:20:00   | Биология           |
| 2016-09-19 | 13:50:00     | 15:20:00   | Товароведение |
| 2016-09-22 | 08:30:00     | 10:00:00   | Биология           |
| 2016-09-22 | 10:10:00     | 11:40:00   | Литература       |
| 2016-09-22 | 11:50:00     | 13:20:00   | Товароведение |
| 2016-09-22 | 13:50:00     | 15:20:00   | Физика               |
| 2016-09-23 | 08:30:00     | 10:00:00   | Алгебра             |
| 2016-09-23 | 10:10:00     | 11:40:00   | Биология           |
| 2016-09-23 | 11:50:00     | 13:20:00   | История             |
| 2016-09-24 | 08:30:00     | 10:00:00   | Биология           |
| 2016-09-24 | 10:10:00     | 11:40:00   | Товароведение |
| 2016-09-24 | 11:50:00     | 13:20:00   | Литература       |
| 2016-09-24 | 13:50:00     | 15:20:00   | История             |
| 2016-09-24 | 15:30:00     | 17:00:00   | Алгебра             |
| 2016-09-25 | 08:30:00     | 10:00:00   | Химия                 |
| 2016-09-25 | 10:10:00     | 11:40:00   | Биология           |
| 2016-09-25 | 11:50:00     | 13:20:00   | История             |
| 2016-09-26 | 08:30:00     | 10:00:00   | Литература       |
| 2016-09-26 | 10:10:00     | 11:40:00   | Химия                 |
| 2016-09-26 | 11:50:00     | 13:20:00   | Биология           |
| 2016-09-26 | 13:50:00     | 15:20:00   | Товароведение |
| 2016-09-29 | 08:30:00     | 10:00:00   | Биология           |
| 2016-09-29 | 10:10:00     | 11:40:00   | Литература       |
| 2016-09-29 | 11:50:00     | 13:20:00   | Товароведение |
| 2016-09-29 | 13:50:00     | 15:20:00   | Физика               |
| 2016-09-30 | 08:30:00     | 10:00:00   | Алгебра             |
| 2016-09-30 | 10:10:00     | 11:40:00   | Биология           |
| 2016-09-30 | 11:50:00     | 13:20:00   | История             |
| 2016-10-01 | 08:30:00     | 10:00:00   | Биология           |
| 2016-10-01 | 10:10:00     | 11:40:00   | Товароведение |
| 2016-10-01 | 11:50:00     | 13:20:00   | Литература       |
| 2016-10-01 | 13:50:00     | 15:20:00   | История             |
| 2016-10-01 | 15:30:00     | 17:00:00   | Алгебра             |
| 2016-10-02 | 08:30:00     | 10:00:00   | Химия                 |
| 2016-10-02 | 10:10:00     | 11:40:00   | Биология           |
| 2016-10-02 | 11:50:00     | 13:20:00   | История             |
| 2016-10-03 | 08:30:00     | 10:00:00   | Литература       |
| 2016-10-03 | 10:10:00     | 11:40:00   | Химия                 |
| 2016-10-03 | 11:50:00     | 13:20:00   | Биология           |
| 2016-10-03 | 13:50:00     | 15:20:00   | Товароведение |
| 2016-10-06 | 08:30:00     | 10:00:00   | Биология           |
| 2016-10-06 | 10:10:00     | 11:40:00   | Литература       |
| 2016-10-06 | 11:50:00     | 13:20:00   | Товароведение |
| 2016-10-06 | 13:50:00     | 15:20:00   | Физика               |
| 2016-10-07 | 08:30:00     | 10:00:00   | Алгебра             |
| 2016-10-07 | 10:10:00     | 11:40:00   | Биология           |
| 2016-10-07 | 11:50:00     | 13:20:00   | История             |
| 2016-10-08 | 08:30:00     | 10:00:00   | Биология           |
| 2016-10-08 | 10:10:00     | 11:40:00   | Товароведение |
| 2016-10-08 | 11:50:00     | 13:20:00   | Литература       |
| 2016-10-08 | 13:50:00     | 15:20:00   | История             |
| 2016-10-08 | 15:30:00     | 17:00:00   | Алгебра             |
| 2016-10-09 | 08:30:00     | 10:00:00   | Химия                 |
| 2016-10-09 | 10:10:00     | 11:40:00   | Биология           |
| 2016-10-09 | 11:50:00     | 13:20:00   | История             |
| 2016-10-10 | 08:30:00     | 10:00:00   | Литература       |
| 2016-10-10 | 10:10:00     | 11:40:00   | Химия                 |
| 2016-10-10 | 11:50:00     | 13:20:00   | Биология           |
| 2016-10-10 | 13:50:00     | 15:20:00   | Товароведение |
| 2016-10-13 | 08:30:00     | 10:00:00   | Биология           |
| 2016-10-13 | 10:10:00     | 11:40:00   | Литература       |
| 2016-10-13 | 11:50:00     | 13:20:00   | Товароведение |
| 2016-10-13 | 13:50:00     | 15:20:00   | Физика               |
| 2016-10-14 | 08:30:00     | 10:00:00   | Алгебра             |
| 2016-10-14 | 10:10:00     | 11:40:00   | Биология           |
| 2016-10-14 | 11:50:00     | 13:20:00   | История             |
| 2016-10-15 | 08:30:00     | 10:00:00   | Биология           |
| 2016-10-15 | 10:10:00     | 11:40:00   | Товароведение |
| 2016-10-15 | 11:50:00     | 13:20:00   | Литература       |
| 2016-10-15 | 13:50:00     | 15:20:00   | История             |
| 2016-10-15 | 15:30:00     | 17:00:00   | Алгебра             |
| 2016-10-16 | 08:30:00     | 10:00:00   | Химия                 |
| 2016-10-16 | 10:10:00     | 11:40:00   | Биология           |
| 2016-10-16 | 11:50:00     | 13:20:00   | История             |
| 2016-10-17 | 08:30:00     | 10:00:00   | Литература       |
| 2016-10-17 | 10:10:00     | 11:40:00   | Химия                 |
| 2016-10-17 | 11:50:00     | 13:20:00   | Биология           |
| 2016-10-17 | 13:50:00     | 15:20:00   | Товароведение |
| 2016-10-20 | 08:30:00     | 10:00:00   | Биология           |
| 2016-10-20 | 10:10:00     | 11:40:00   | Литература       |
| 2016-10-20 | 11:50:00     | 13:20:00   | Товароведение |
| 2016-10-20 | 13:50:00     | 15:20:00   | Физика               |
| 2016-10-21 | 08:30:00     | 10:00:00   | Алгебра             |
| 2016-10-21 | 10:10:00     | 11:40:00   | Биология           |
| 2016-10-21 | 11:50:00     | 13:20:00   | История             |
| 2016-10-22 | 08:30:00     | 10:00:00   | Биология           |
| 2016-10-22 | 10:10:00     | 11:40:00   | Товароведение |
| 2016-10-22 | 11:50:00     | 13:20:00   | Литература       |
| 2016-10-22 | 13:50:00     | 15:20:00   | История             |
| 2016-10-22 | 15:30:00     | 17:00:00   | Алгебра             |
| 2016-10-23 | 08:30:00     | 10:00:00   | Химия                 |
| 2016-10-23 | 10:10:00     | 11:40:00   | Биология           |
| 2016-10-23 | 11:50:00     | 13:20:00   | История             |
| 2016-10-24 | 08:30:00     | 10:00:00   | Литература       |
| 2016-10-24 | 10:10:00     | 11:40:00   | Химия                 |
| 2016-10-24 | 11:50:00     | 13:20:00   | Биология           |
| 2016-10-24 | 13:50:00     | 15:20:00   | Товароведение |
| 2016-10-27 | 08:30:00     | 10:00:00   | Биология           |
| 2016-10-27 | 10:10:00     | 11:40:00   | Литература       |
| 2016-10-27 | 11:50:00     | 13:20:00   | Товароведение |
| 2016-10-27 | 13:50:00     | 15:20:00   | Физика               |
| 2016-10-28 | 08:30:00     | 10:00:00   | Алгебра             |
| 2016-10-28 | 10:10:00     | 11:40:00   | Биология           |
| 2016-10-28 | 11:50:00     | 13:20:00   | История             |
| 2016-10-29 | 08:30:00     | 10:00:00   | Биология           |
| 2016-10-29 | 10:10:00     | 11:40:00   | Товароведение |
| 2016-10-29 | 11:50:00     | 13:20:00   | Литература       |
| 2016-10-29 | 13:50:00     | 15:20:00   | История             |
| 2016-10-29 | 15:30:00     | 17:00:00   | Алгебра             |
| 2016-10-30 | 08:30:00     | 10:00:00   | Химия                 |
| 2016-10-30 | 10:10:00     | 11:40:00   | Биология           |
| 2016-10-30 | 11:50:00     | 13:20:00   | История             |
| 2016-10-31 | 08:30:00     | 10:00:00   | Литература       |
| 2016-10-31 | 10:10:00     | 11:40:00   | Химия                 |
| 2016-10-31 | 11:50:00     | 13:20:00   | Биология           |
| 2016-10-31 | 13:50:00     | 15:20:00   | Товароведение |
| 2016-11-03 | 08:30:00     | 10:00:00   | Биология           |
| 2016-11-03 | 10:10:00     | 11:40:00   | Литература       |
| 2016-11-03 | 11:50:00     | 13:20:00   | Товароведение |
| 2016-11-03 | 13:50:00     | 15:20:00   | Физика               |
| 2016-11-04 | 08:30:00     | 10:00:00   | Алгебра             |
| 2016-11-04 | 10:10:00     | 11:40:00   | Биология           |
| 2016-11-04 | 11:50:00     | 13:20:00   | История             |
| 2016-11-05 | 08:30:00     | 10:00:00   | Биология           |
| 2016-11-05 | 10:10:00     | 11:40:00   | Товароведение |
| 2016-11-05 | 11:50:00     | 13:20:00   | Литература       |
| 2016-11-05 | 13:50:00     | 15:20:00   | История             |
| 2016-11-05 | 15:30:00     | 17:00:00   | Алгебра             |
| 2016-11-06 | 08:30:00     | 10:00:00   | Химия                 |
| 2016-11-06 | 10:10:00     | 11:40:00   | Биология           |
| 2016-11-06 | 11:50:00     | 13:20:00   | История             |
| 2016-11-07 | 08:30:00     | 10:00:00   | Литература       |
| 2016-11-07 | 10:10:00     | 11:40:00   | Химия                 |
| 2016-11-07 | 11:50:00     | 13:20:00   | Биология           |
| 2016-11-07 | 13:50:00     | 15:20:00   | Товароведение |
| 2016-11-10 | 08:30:00     | 10:00:00   | Биология           |
| 2016-11-10 | 10:10:00     | 11:40:00   | Литература       |
| 2016-11-10 | 11:50:00     | 13:20:00   | Товароведение |
| 2016-11-10 | 13:50:00     | 15:20:00   | Физика               |
| 2016-11-11 | 08:30:00     | 10:00:00   | Алгебра             |
| 2016-11-11 | 10:10:00     | 11:40:00   | Биология           |
| 2016-11-11 | 11:50:00     | 13:20:00   | История             |
| 2016-11-12 | 08:30:00     | 10:00:00   | Биология           |
| 2016-11-12 | 10:10:00     | 11:40:00   | Товароведение |
| 2016-11-12 | 11:50:00     | 13:20:00   | Литература       |
| 2016-11-12 | 13:50:00     | 15:20:00   | История             |
| 2016-11-12 | 15:30:00     | 17:00:00   | Алгебра             |
| 2016-11-13 | 08:30:00     | 10:00:00   | Химия                 |
| 2016-11-13 | 10:10:00     | 11:40:00   | Биология           |
| 2016-11-13 | 11:50:00     | 13:20:00   | История             |
| 2016-11-14 | 08:30:00     | 10:00:00   | Литература       |
| 2016-11-14 | 10:10:00     | 11:40:00   | Химия                 |
| 2016-11-14 | 11:50:00     | 13:20:00   | Биология           |
| 2016-11-14 | 13:50:00     | 15:20:00   | Товароведение |
| 2016-11-17 | 08:30:00     | 10:00:00   | Биология           |
| 2016-11-17 | 10:10:00     | 11:40:00   | Литература       |
| 2016-11-17 | 11:50:00     | 13:20:00   | Товароведение |
| 2016-11-17 | 13:50:00     | 15:20:00   | Физика               |
| 2016-11-18 | 08:30:00     | 10:00:00   | Алгебра             |
| 2016-11-18 | 10:10:00     | 11:40:00   | Биология           |
| 2016-11-18 | 11:50:00     | 13:20:00   | История             |
| 2016-11-19 | 08:30:00     | 10:00:00   | Биология           |
| 2016-11-19 | 10:10:00     | 11:40:00   | Товароведение |
| 2016-11-19 | 11:50:00     | 13:20:00   | Литература       |
| 2016-11-19 | 13:50:00     | 15:20:00   | История             |
| 2016-11-19 | 15:30:00     | 17:00:00   | Алгебра             |
| 2016-11-20 | 08:30:00     | 10:00:00   | Химия                 |
| 2016-11-20 | 10:10:00     | 11:40:00   | Биология           |
| 2016-11-20 | 11:50:00     | 13:20:00   | История             |
| 2016-11-21 | 08:30:00     | 10:00:00   | Литература       |
| 2016-11-21 | 10:10:00     | 11:40:00   | Химия                 |
| 2016-11-21 | 11:50:00     | 13:20:00   | Биология           |
| 2016-11-21 | 13:50:00     | 15:20:00   | Товароведение |
| 2016-11-24 | 08:30:00     | 10:00:00   | Биология           |
| 2016-11-24 | 10:10:00     | 11:40:00   | Литература       |
| 2016-11-24 | 11:50:00     | 13:20:00   | Товароведение |
| 2016-11-24 | 13:50:00     | 15:20:00   | Физика               |
| 2016-11-25 | 08:30:00     | 10:00:00   | Алгебра             |
| 2016-11-25 | 10:10:00     | 11:40:00   | Биология           |
| 2016-11-25 | 11:50:00     | 13:20:00   | История             |
| 2016-11-26 | 08:30:00     | 10:00:00   | Биология           |
| 2016-11-26 | 10:10:00     | 11:40:00   | Товароведение |
| 2016-11-26 | 11:50:00     | 13:20:00   | Литература       |
| 2016-11-26 | 13:50:00     | 15:20:00   | История             |
| 2016-11-26 | 15:30:00     | 17:00:00   | Алгебра             |
| 2016-11-27 | 08:30:00     | 10:00:00   | Химия                 |
| 2016-11-27 | 10:10:00     | 11:40:00   | Биология           |
| 2016-11-27 | 11:50:00     | 13:20:00   | История             |
| 2016-11-28 | 08:30:00     | 10:00:00   | Литература       |
| 2016-11-28 | 10:10:00     | 11:40:00   | Химия                 |
| 2016-11-28 | 11:50:00     | 13:20:00   | Биология           |
| 2016-11-28 | 13:50:00     | 15:20:00   | Товароведение |
+------------+--------------+------------+----------------------------+
+------------+--------------------+------------------+------------+--------------+------------+----------------------------+
| student_id | Имя             | Фамилия   | Дата   | Начало | Конец | Предмет             |
+------------+--------------------+------------------+------------+--------------+------------+----------------------------+
|          1 | Иван           | Петров     | 2016-09-02 | 08:30:00     | 10:00:00   | Алгебра             |
|          2 | Сергей       | Иванов     | 2016-09-02 | 08:30:00     | 10:00:00   | Алгебра             |
|          3 | Петр           | Сергеев   | 2016-09-02 | 08:30:00     | 10:00:00   | Алгебра             |
|          4 | Александр | Кириллов | 2016-09-02 | 08:30:00     | 10:00:00   | Алгебра             |
|          5 | Кирилл       | Смирнов   | 2016-09-02 | 08:30:00     | 10:00:00   | Алгебра             |
|          1 | Иван           | Петров     | 2016-09-02 | 10:10:00     | 11:40:00   | Биология           |
|          2 | Сергей       | Иванов     | 2016-09-02 | 10:10:00     | 11:40:00   | Биология           |
|          3 | Петр           | Сергеев   | 2016-09-02 | 10:10:00     | 11:40:00   | Биология           |
|          4 | Александр | Кириллов | 2016-09-02 | 10:10:00     | 11:40:00   | Биология           |
|          5 | Кирилл       | Смирнов   | 2016-09-02 | 10:10:00     | 11:40:00   | Биология           |
|          1 | Иван           | Петров     | 2016-09-02 | 11:50:00     | 13:20:00   | История             |
|          2 | Сергей       | Иванов     | 2016-09-02 | 11:50:00     | 13:20:00   | История             |
|          3 | Петр           | Сергеев   | 2016-09-02 | 11:50:00     | 13:20:00   | История             |
|          4 | Александр | Кириллов | 2016-09-02 | 11:50:00     | 13:20:00   | История             |
|          5 | Кирилл       | Смирнов   | 2016-09-02 | 11:50:00     | 13:20:00   | История             |
|          1 | Иван           | Петров     | 2016-09-03 | 08:30:00     | 10:00:00   | Биология           |
|          2 | Сергей       | Иванов     | 2016-09-03 | 08:30:00     | 10:00:00   | Биология           |
|          3 | Петр           | Сергеев   | 2016-09-03 | 08:30:00     | 10:00:00   | Биология           |
|          4 | Александр | Кириллов | 2016-09-03 | 08:30:00     | 10:00:00   | Биология           |
|          5 | Кирилл       | Смирнов   | 2016-09-03 | 08:30:00     | 10:00:00   | Биология           |
|          1 | Иван           | Петров     | 2016-09-03 | 10:10:00     | 11:40:00   | Товароведение |
|          2 | Сергей       | Иванов     | 2016-09-03 | 10:10:00     | 11:40:00   | Товароведение |
|          3 | Петр           | Сергеев   | 2016-09-03 | 10:10:00     | 11:40:00   | Товароведение |
|          4 | Александр | Кириллов | 2016-09-03 | 10:10:00     | 11:40:00   | Товароведение |
|          5 | Кирилл       | Смирнов   | 2016-09-03 | 10:10:00     | 11:40:00   | Товароведение |
|          1 | Иван           | Петров     | 2016-09-03 | 11:50:00     | 13:20:00   | Литература       |
|          2 | Сергей       | Иванов     | 2016-09-03 | 11:50:00     | 13:20:00   | Литература       |
|          3 | Петр           | Сергеев   | 2016-09-03 | 11:50:00     | 13:20:00   | Литература       |
|          4 | Александр | Кириллов | 2016-09-03 | 11:50:00     | 13:20:00   | Литература       |
|          5 | Кирилл       | Смирнов   | 2016-09-03 | 11:50:00     | 13:20:00   | Литература       |
|          1 | Иван           | Петров     | 2016-09-03 | 13:50:00     | 15:20:00   | История             |
|          2 | Сергей       | Иванов     | 2016-09-03 | 13:50:00     | 15:20:00   | История             |
|          3 | Петр           | Сергеев   | 2016-09-03 | 13:50:00     | 15:20:00   | История             |
|          4 | Александр | Кириллов | 2016-09-03 | 13:50:00     | 15:20:00   | История             |
|          5 | Кирилл       | Смирнов   | 2016-09-03 | 13:50:00     | 15:20:00   | История             |
|          1 | Иван           | Петров     | 2016-09-03 | 15:30:00     | 17:00:00   | Алгебра             |
|          2 | Сергей       | Иванов     | 2016-09-03 | 15:30:00     | 17:00:00   | Алгебра             |
|          3 | Петр           | Сергеев   | 2016-09-03 | 15:30:00     | 17:00:00   | Алгебра             |
|          4 | Александр | Кириллов | 2016-09-03 | 15:30:00     | 17:00:00   | Алгебра             |
|          5 | Кирилл       | Смирнов   | 2016-09-03 | 15:30:00     | 17:00:00   | Алгебра             |
|          2 | Сергей       | Иванов     | 2016-09-04 | 08:30:00     | 10:00:00   | Химия                 |
|          3 | Петр           | Сергеев   | 2016-09-04 | 08:30:00     | 10:00:00   | Химия                 |
|          4 | Александр | Кириллов | 2016-09-04 | 08:30:00     | 10:00:00   | Химия                 |
|          5 | Кирилл       | Смирнов   | 2016-09-04 | 08:30:00     | 10:00:00   | Химия                 |
|          1 | Иван           | Петров     | 2016-09-04 | 10:10:00     | 11:40:00   | Биология           |
|          2 | Сергей       | Иванов     | 2016-09-04 | 10:10:00     | 11:40:00   | Биология           |
|          3 | Петр           | Сергеев   | 2016-09-04 | 10:10:00     | 11:40:00   | Биология           |
|          4 | Александр | Кириллов | 2016-09-04 | 10:10:00     | 11:40:00   | Биология           |
|          5 | Кирилл       | Смирнов   | 2016-09-04 | 10:10:00     | 11:40:00   | Биология           |
|          1 | Иван           | Петров     | 2016-09-04 | 11:50:00     | 13:20:00   | История             |
|          2 | Сергей       | Иванов     | 2016-09-04 | 11:50:00     | 13:20:00   | История             |
|          3 | Петр           | Сергеев   | 2016-09-04 | 11:50:00     | 13:20:00   | История             |
|          4 | Александр | Кириллов | 2016-09-04 | 11:50:00     | 13:20:00   | История             |
|          5 | Кирилл       | Смирнов   | 2016-09-04 | 11:50:00     | 13:20:00   | История             |
|          1 | Иван           | Петров     | 2016-09-05 | 08:30:00     | 10:00:00   | Литература       |
|          2 | Сергей       | Иванов     | 2016-09-05 | 08:30:00     | 10:00:00   | Литература       |
|          3 | Петр           | Сергеев   | 2016-09-05 | 08:30:00     | 10:00:00   | Литература       |
|          4 | Александр | Кириллов | 2016-09-05 | 08:30:00     | 10:00:00   | Литература       |
|          5 | Кирилл       | Смирнов   | 2016-09-05 | 08:30:00     | 10:00:00   | Литература       |
|          2 | Сергей       | Иванов     | 2016-09-05 | 10:10:00     | 11:40:00   | Химия                 |
|          3 | Петр           | Сергеев   | 2016-09-05 | 10:10:00     | 11:40:00   | Химия                 |
|          4 | Александр | Кириллов | 2016-09-05 | 10:10:00     | 11:40:00   | Химия                 |
|          5 | Кирилл       | Смирнов   | 2016-09-05 | 10:10:00     | 11:40:00   | Химия                 |
|          1 | Иван           | Петров     | 2016-09-05 | 11:50:00     | 13:20:00   | Биология           |
|          2 | Сергей       | Иванов     | 2016-09-05 | 11:50:00     | 13:20:00   | Биология           |
|          3 | Петр           | Сергеев   | 2016-09-05 | 11:50:00     | 13:20:00   | Биология           |
|          4 | Александр | Кириллов | 2016-09-05 | 11:50:00     | 13:20:00   | Биология           |
|          5 | Кирилл       | Смирнов   | 2016-09-05 | 11:50:00     | 13:20:00   | Биология           |
|          1 | Иван           | Петров     | 2016-09-05 | 13:50:00     | 15:20:00   | Товароведение |
|          2 | Сергей       | Иванов     | 2016-09-05 | 13:50:00     | 15:20:00   | Товароведение |
|          3 | Петр           | Сергеев   | 2016-09-05 | 13:50:00     | 15:20:00   | Товароведение |
|          4 | Александр | Кириллов | 2016-09-05 | 13:50:00     | 15:20:00   | Товароведение |
|          5 | Кирилл       | Смирнов   | 2016-09-05 | 13:50:00     | 15:20:00   | Товароведение |
|          1 | Иван           | Петров     | 2016-09-08 | 08:30:00     | 10:00:00   | Биология           |
|          2 | Сергей       | Иванов     | 2016-09-08 | 08:30:00     | 10:00:00   | Биология           |
|          3 | Петр           | Сергеев   | 2016-09-08 | 08:30:00     | 10:00:00   | Биология           |
|          4 | Александр | Кириллов | 2016-09-08 | 08:30:00     | 10:00:00   | Биология           |
|          5 | Кирилл       | Смирнов   | 2016-09-08 | 08:30:00     | 10:00:00   | Биология           |
|          1 | Иван           | Петров     | 2016-09-08 | 10:10:00     | 11:40:00   | Литература       |
|          2 | Сергей       | Иванов     | 2016-09-08 | 10:10:00     | 11:40:00   | Литература       |
|          3 | Петр           | Сергеев   | 2016-09-08 | 10:10:00     | 11:40:00   | Литература       |
|          4 | Александр | Кириллов | 2016-09-08 | 10:10:00     | 11:40:00   | Литература       |
|          5 | Кирилл       | Смирнов   | 2016-09-08 | 10:10:00     | 11:40:00   | Литература       |
|          1 | Иван           | Петров     | 2016-09-08 | 11:50:00     | 13:20:00   | Товароведение |
|          2 | Сергей       | Иванов     | 2016-09-08 | 11:50:00     | 13:20:00   | Товароведение |
|          3 | Петр           | Сергеев   | 2016-09-08 | 11:50:00     | 13:20:00   | Товароведение |
|          4 | Александр | Кириллов | 2016-09-08 | 11:50:00     | 13:20:00   | Товароведение |
|          5 | Кирилл       | Смирнов   | 2016-09-08 | 11:50:00     | 13:20:00   | Товароведение |
|          1 | Иван           | Петров     | 2016-09-08 | 13:50:00     | 15:20:00   | Физика               |
|          3 | Петр           | Сергеев   | 2016-09-08 | 13:50:00     | 15:20:00   | Физика               |
|          4 | Александр | Кириллов | 2016-09-08 | 13:50:00     | 15:20:00   | Физика               |
|          5 | Кирилл       | Смирнов   | 2016-09-08 | 13:50:00     | 15:20:00   | Физика               |
|          1 | Иван           | Петров     | 2016-09-09 | 08:30:00     | 10:00:00   | Алгебра             |
|          2 | Сергей       | Иванов     | 2016-09-09 | 08:30:00     | 10:00:00   | Алгебра             |
|          3 | Петр           | Сергеев   | 2016-09-09 | 08:30:00     | 10:00:00   | Алгебра             |
|          4 | Александр | Кириллов | 2016-09-09 | 08:30:00     | 10:00:00   | Алгебра             |
|          5 | Кирилл       | Смирнов   | 2016-09-09 | 08:30:00     | 10:00:00   | Алгебра             |
|          1 | Иван           | Петров     | 2016-09-09 | 10:10:00     | 11:40:00   | Биология           |
|          2 | Сергей       | Иванов     | 2016-09-09 | 10:10:00     | 11:40:00   | Биология           |
|          3 | Петр           | Сергеев   | 2016-09-09 | 10:10:00     | 11:40:00   | Биология           |
|          4 | Александр | Кириллов | 2016-09-09 | 10:10:00     | 11:40:00   | Биология           |
|          5 | Кирилл       | Смирнов   | 2016-09-09 | 10:10:00     | 11:40:00   | Биология           |
|          1 | Иван           | Петров     | 2016-09-09 | 11:50:00     | 13:20:00   | История             |
|          2 | Сергей       | Иванов     | 2016-09-09 | 11:50:00     | 13:20:00   | История             |
|          3 | Петр           | Сергеев   | 2016-09-09 | 11:50:00     | 13:20:00   | История             |
|          4 | Александр | Кириллов | 2016-09-09 | 11:50:00     | 13:20:00   | История             |
|          5 | Кирилл       | Смирнов   | 2016-09-09 | 11:50:00     | 13:20:00   | История             |
|          1 | Иван           | Петров     | 2016-09-10 | 08:30:00     | 10:00:00   | Биология           |
|          2 | Сергей       | Иванов     | 2016-09-10 | 08:30:00     | 10:00:00   | Биология           |
|          3 | Петр           | Сергеев   | 2016-09-10 | 08:30:00     | 10:00:00   | Биология           |
|          4 | Александр | Кириллов | 2016-09-10 | 08:30:00     | 10:00:00   | Биология           |
|          5 | Кирилл       | Смирнов   | 2016-09-10 | 08:30:00     | 10:00:00   | Биология           |
|          1 | Иван           | Петров     | 2016-09-10 | 10:10:00     | 11:40:00   | Товароведение |
|          2 | Сергей       | Иванов     | 2016-09-10 | 10:10:00     | 11:40:00   | Товароведение |
|          3 | Петр           | Сергеев   | 2016-09-10 | 10:10:00     | 11:40:00   | Товароведение |
|          4 | Александр | Кириллов | 2016-09-10 | 10:10:00     | 11:40:00   | Товароведение |
|          5 | Кирилл       | Смирнов   | 2016-09-10 | 10:10:00     | 11:40:00   | Товароведение |
|          1 | Иван           | Петров     | 2016-09-10 | 11:50:00     | 13:20:00   | Литература       |
|          2 | Сергей       | Иванов     | 2016-09-10 | 11:50:00     | 13:20:00   | Литература       |
|          3 | Петр           | Сергеев   | 2016-09-10 | 11:50:00     | 13:20:00   | Литература       |
|          4 | Александр | Кириллов | 2016-09-10 | 11:50:00     | 13:20:00   | Литература       |
|          5 | Кирилл       | Смирнов   | 2016-09-10 | 11:50:00     | 13:20:00   | Литература       |
|          1 | Иван           | Петров     | 2016-09-10 | 13:50:00     | 15:20:00   | История             |
|          2 | Сергей       | Иванов     | 2016-09-10 | 13:50:00     | 15:20:00   | История             |
|          3 | Петр           | Сергеев   | 2016-09-10 | 13:50:00     | 15:20:00   | История             |
